1),GSE TEST INPUT:CHANNEL-1 ROE TEST INPUT,,,,,,
SL NO.,INPUT POINT,OUTPUT POINT,"LOWERLIMIT","UPPERLIMIT","MEASUREDVALUE",UNITS,RESULT
1,0V at J3/B11(J1/B1=FALSE),P3/A1&P3/B1,-0.1,0.1,0.054992,Volts DC,PASS
2,9V at J3/B11(J1/B1=FALSE),P3/A1&P3/B1,9.8,10.2,9.889893,Volts DC,PASS
3,-9V at J3/B11(J1/B1=FALSE),P3/A1&P3/B1,-10.2,-9.8,-9.914006,Volts DC,PASS
4,9V at J3/B11(J1/B1=TRUE),P3/A1&P3/B1,-0.1,0.1,-0.1,Volts DC,PASS
5,9V at J3/B11(J1/B1=FALSE),P3/A1&P3/B1,9.8,10.2,9.958627,Volts DC,PASS
2),GSE TEST INPUT:CHANNEL-2 LOE TEST INPUT,,,,,,
SL NO.,INPUT POINT,OUTPUT POINT,"LOWERLIMIT","UPPERLIMIT","MEASUREDVALUE",UNITS,RESULT
1,0V at J3/B14(J1/B4=FALSE),P3/A4&P3/B4,-0.1,0.1,-0.014402,Volts DC,PASS
2,9V at J3/B14(J1/B4=FALSE),P3/A4&P3/B4,9.8,10.2,9.956762,Volts DC,PASS
3,-9V at J3/B14(J1/B4=FALSE),P3/A4&P3/B4,-10.2,-9.8,-9.945791,Volts DC,PASS
4,9V at J3/B14(J1/B4=TRUE),P3/A4&P3/B4,-0.1,0.1,-0.1,Volts DC,PASS
5,9V at J3/B14(J1/B4=FALSE),P3/A4&P3/B4,9.8,10.2,9.977052,Volts DC,PASS
3),GSE TEST INPUT:CHANNEL-2 RIE TEST INPUT,,,,,,
SL NO.,INPUT POINT,OUTPUT POINT,"LOWERLIMIT","UPPERLIMIT","MEASUREDVALUE",UNITS,RESULT
1,0V at J3/B12(J1/B2=FALSE),P3/A2&P3/B2,-0.1,0.1,-0.001502,Volts DC,PASS
2,9V at J3/B12(J1/B2=FALSE),P3/A2&P3/B2,9.8,10.2,9.960649,Volts DC,PASS
3,-9V at J3/B12(J1/B2=FALSE),P3/A2&P3/B2,-10.2,-9.8,-9.956273,Volts DC,PASS
4,9V at J3/B12(J1/B2=TRUE),P3/A2&P3/B2,-0.1,0.1,-0.1,Volts DC,PASS
5,9V at J3/B12(J1/B2=FALSE),P3/A2&P3/B2,9.8,10.2,9.975827,Volts DC,PASS
4),GSE TEST INPUT:CHANNEL-1 LIE TEST INPUT,,,,,,
SL NO.,INPUT POINT,OUTPUT POINT,"LOWERLIMIT","UPPERLIMIT","MEASUREDVALUE",UNITS,RESULT
1,0V at J3/B13(J1/B3=FALSE),P3/A3&P3/B3,-0.1,0.1,-0.013428,Volts DC,PASS
2,9V at J3/B13(J1/B3=FALSE),P3/A3&P3/B3,9.8,10.2,9.953183,Volts DC,PASS
3,-9V at J3/B13(J1/B3=FALSE),P3/A3&P3/B3,-10.2,-9.8,-9.982843,Volts DC,PASS
4,9V at J3/B13(J1/B3=TRUE),P3/A3&P3/B3,-0.1,0.1,-0.1,Volts DC,PASS
5,9V at J3/B13(J1/B3=FALSE),P3/A3&P3/B3,9.8,10.2,9.978702,Volts DC,PASS
5),GSE TEST INPUT:CHANNEL-1 RUD TEST INPUT,,,,,,
SL NO.,INPUT POINT,OUTPUT POINT,"LOWERLIMIT","UPPERLIMIT","MEASUREDVALUE",UNITS,RESULT
1,0V at J3/B15(J1/B5=FALSE),P3/A5&P3/B5,-0.1,0.1,-0.013454,Volts DC,PASS
2,9V at J3/B15(J1/B5=FALSE),P3/A5&P3/B5,9.8,10.2,9.948757,Volts DC,PASS
3,-9V at J3/B15(J1/B5=FALSE),P3/A5&P3/B5,-10.2,-9.8,-9.977006,Volts DC,PASS
4,9V at J3/B15(J1/B5=TRUE),P3/A5&P3/B5,-0.1,0.1,-0.1,Volts DC,PASS
5,9V at J3/B15(J1/B5=FALSE),P3/A5&P3/B5,9.8,10.2,9.973798,Volts DC,PASS
