,1),CHANNEL-1 RSA PITCH RATE-BAE,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
0,,,,LOWER,UPPER,MEASURED,
1,SL NO.,INPUT POINT,OUTPUT POINT,,,,RESULT
2,,,,LIMIT,LIMIT,VALUE(VOLTS DC),
3,,0 Volts at P3/A27 and P3/C27,,,,,
4,1,,P3/A1 & P3/C1,-0.1,0.1,-0.000183,PASS
5,,"(J2/B25=5V,J2/A13=0V)(J2/B1=0V,J2/B2=0V)",,,,,
6,,0 Volts at P3/A27 and P3/C27,,,,,
7,2,,J3/A1 & GND,-0.1,0.1,0.018971,PASS
8,,"(J2/B25=5V,J2/A13=0V)(J2/B1=0V,J2/B2=0V)",,,,,
9,,0 Volts at P3/A27 and P3/C27,,,,,
10,3,"(J2/B25=5V,J2/A13=0V)(J2/B1=0V,J2/B2=0V)(J2/A17=0V,J2/A18=0",J3/A23 & GND,-0.1,0.1,0.037942,PASS
11,,"V,J2/A19=0V,J2/A20=0V)",,,,,
12,,0 Volts at P3/A27 and P3/C27,,,,,
13,4,,P3/B1 & P3/C1,-0.1,0.1,-0.00007,PASS
14,,"(J2/B25=5V,J2/A13=0V)(J2/B1=0V,J2/B2=0V)",,,,,
